,CiteScore,SNIP,SJR,H index,IF,ES,SJR Best Quartile,Scopus_Quartile,HJRS Category,Kmeanslabels,PCA2_labels,PCA3_labels,tSNE2_labels,IF_Quartile,cluster_labels
464,3.3,0.839,0.564,37,1.3,0.00091,Q2,PQ2,X,2,0,2,3,IF_Q4,3
520,2.6,0.625,0.345,27,1.304,0.00021,Q3,PQ3,X,2,0,2,3,IF_Q4,3
564,2.0,0.532,0.357,48,1.321,0.00075,Q3,PQ3,X,2,0,2,3,IF_Q4,3
1040,2.5,0.723,0.307,51,1.321,0.0015,Q3,PQ3,X,2,0,2,3,IF_Q4,3
1055,1.9,0.71,0.291,23,1.333,9e-05,Q4,PQ3,Y,2,0,2,3,IF_Q4,3
1098,1.8,0.862,0.573,49,1.337,0.00146,Q3,PQ2,X,2,0,2,3,IF_Q4,3
560,2.1,1.19,0.661,19,1.34,0.00056,Q2,PQ3,X,2,0,2,3,IF_Q4,3
830,3.4,0.599,0.476,63,1.345,0.00422,Q3,PQ2,X,2,0,2,3,IF_Q4,3
566,2.0,0.51,0.299,67,1.353,0.00141,Q3,PQ3,X,2,0,2,3,IF_Q4,3
854,2.5,0.694,0.365,60,1.355,9e-05,Q3,PQ2,X,2,0,2,3,IF_Q4,3
556,2.2,0.944,0.453,67,1.361,0.00185,Q3,PQ1,X,2,0,2,3,IF_Q4,3
839,3.1,0.833,0.437,36,1.363,0.00143,Q3,PQ2,X,2,0,2,3,IF_Q4,3
994,4.0,1.281,0.562,30,1.367,0.00018,Q2,PQ1,X,2,0,2,3,IF_Q4,3
487,3.0,1.118,0.633,72,1.368,0.00188,Q2,PQ2,W,2,0,2,1,IF_Q4,3
873,1.9,0.671,0.322,36,1.399,0.00069,Q3,PQ3,X,2,0,2,3,IF_Q4,3
574,2.0,1.011,0.685,54,1.402,0.00115,Q2,PQ2,X,2,0,2,3,IF_Q4,3
452,3.6,0.793,0.553,38,1.408,0.00043,Q3,PQ2,X,2,0,2,3,IF_Q4,3
865,2.2,0.855,0.599,33,1.41,0.00111,Q2,PQ2,X,2,0,2,3,IF_Q4,3
532,2.5,0.602,0.306,57,1.416,0.00253,Q3,PQ2,X,2,0,2,3,IF_Q4,3
879,1.4,0.858,0.276,14,1.417,0.00039,Q3,PQ3,X,2,0,2,3,IF_Q4,3
875,1.8,0.99,0.522,47,1.418,0.00194,Q2,PQ2,X,2,0,2,3,IF_Q4,3
1026,2.9,0.966,0.913,144,1.432,0.0006,Q1,PQ2,W,2,0,2,2,IF_Q4,3
583,1.7,0.812,0.468,24,1.438,0.00031,Q3,PQ3,X,2,0,2,3,IF_Q4,3
856,2.5,1.038,0.408,34,1.44,0.00161,Q3,PQ2,X,2,0,2,3,IF_Q4,3
836,3.2,0.916,0.47,35,1.444,0.00064,Q3,PQ2,X,2,0,2,3,IF_Q4,3
1002,3.9,0.811,0.499,36,1.447,0.0006,Q2,PQ2,X,2,0,2,3,IF_Q4,3
512,2.7,0.777,0.533,53,1.447,0.00106,Q2,PQ2,X,2,0,2,3,IF_Q4,3
1036,2.6,1.158,0.457,15,1.471,0.00052,Q2,PQ2,X,2,0,2,3,IF_Q4,3
986,4.4,1.921,2.349,116,1.475,0.00508,Q1,PQ1,W,0,2,1,0,IF_Q4,1
530,2.5,0.704,0.367,33,1.478,0.00021,Q3,PQ3,X,2,0,2,3,IF_Q4,3
759,5.1,0.807,0.561,39,1.484,0.00148,Q2,PQ2,X,2,0,2,3,IF_Q4,3
480,3.1,0.685,0.451,31,1.492,0.00192,Q3,PQ2,X,2,0,2,3,IF_Q4,3
431,3.8,0.925,0.524,23,1.492,0.00162,Q2,PQ1,X,2,0,2,3,IF_Q4,3
786,4.3,1.232,0.584,42,1.504,0.0013,Q2,PQ2,X,2,0,2,1,IF_Q4,3
576,1.9,1.224,0.646,38,1.509,0.00123,Q2,PQ3,W,2,0,2,3,IF_Q4,3
770,4.5,1.688,0.529,44,1.512,0.00047,Q2,PQ1,X,2,0,2,1,IF_Q4,3
1016,3.2,0.661,0.337,38,1.512,0.00047,Q3,PQ1,X,2,0,2,3,IF_Q4,3
517,2.7,1.003,0.462,46,1.523,0.00152,Q3,PQ3,X,2,0,2,3,IF_Q4,3
1006,3.7,0.795,0.449,28,1.524,0.00039,Q2,PQ2,X,2,0,2,3,IF_Q4,3
861,2.2,0.552,0.359,61,1.526,0.00055,Q3,PQ1,X,2,0,2,3,IF_Q4,3
558,2.2,0.692,0.374,36,1.533,0.00037,Q3,PQ2,X,2,0,2,3,IF_Q4,3
1101,1.1,1.131,1.352,52,1.543,0.00108,Q1,PQ4,W,2,0,2,1,IF_Q4,3
495,2.9,0.56,0.581,97,1.549,0.00283,Q2,PQ2,X,2,0,2,1,IF_Q4,3
301,6.1,1.807,0.832,29,1.585,0.00064,Q2,PQ1,W,2,0,2,1,IF_Q4,3
519,2.6,0.553,0.538,29,1.591,0.00049,Q2,PQ2,X,2,0,2,3,IF_Q4,3
298,6.1,1.549,1.058,103,1.603,0.00116,Q1,PQ1,W,2,0,1,2,IF_Q4,3
1014,3.4,0.76,0.484,47,1.622,0.00086,Q2,PQ2,X,2,0,2,3,IF_Q4,3
1018,3.1,1.096,0.373,86,1.623,0.00065,Q3,PQ1,X,2,0,2,1,IF_Q4,3
1005,3.9,1.183,0.467,41,1.623,0.00086,Q3,PQ1,X,2,0,2,3,IF_Q4,3
814,3.8,1.189,0.752,76,1.627,0.00229,Q2,PQ1,W,2,0,2,1,IF_Q4,3
